id,name,category,cuisine,description,price,discount_percent,discounted_price,calories,prep_time_minutes,spice_level,dietary_tag,rating,review_count,is_available,is_featured,is_new,image_url,created_at
17,Garlic Bread - Variant 4,Appetizer,Greek,"A delightful starter to begin your meal, crafted with fresh ingredients. Garlic Bread - Variant 4 is a customer favorite.",3.65,15,3.1,207,24,Mild,None,4.7,672,Sold Out,Yes,No,https://images.restaurant.com/food/appetizer/0017.jpg,2023-09-22
18,Garlic Bread - Variant 5,Appetizer,Indian,"A delightful starter to begin your meal, crafted with fresh ingredients. Garlic Bread - Variant 5 is a customer favorite.",4.63,0,4.63,607,37,None,Halal,3.9,393,Sold Out,No,No,https://images.restaurant.com/food/appetizer/0018.jpg,2023-01-09
19,Mozzarella Sticks,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Mozzarella Sticks is a customer favorite.",9.99,5,9.49,893,12,Extra Hot,Vegan,4.7,427,Available,Yes,No,https://images.restaurant.com/food/appetizer/0019.jpg,2024-01-02
20,Mozzarella Sticks - Variant 2,Appetizer,Indian,"A delightful starter to begin your meal, crafted with fresh ingredients. Mozzarella Sticks - Variant 2 is a customer favorite.",7.95,10,7.16,665,44,None,Low-Carb,4.9,204,Available,Yes,No,https://images.restaurant.com/food/appetizer/0020.jpg,2023-06-02
21,Mozzarella Sticks - Variant 3,Appetizer,Vietnamese,"A delightful starter to begin your meal, crafted with fresh ingredients. Mozzarella Sticks - Variant 3 is a customer favorite.",7.83,5,7.44,1114,36,None,Halal,4.5,106,Available,No,No,https://images.restaurant.com/food/appetizer/0021.jpg,2023-08-02
22,Mozzarella Sticks - Variant 4,Appetizer,Indian,"A delightful starter to begin your meal, crafted with fresh ingredients. Mozzarella Sticks - Variant 4 is a customer favorite.",9.55,0,9.55,1015,37,Hot,Gluten-Free,4.6,407,Available,No,Yes,https://images.restaurant.com/food/appetizer/0022.jpg,2023-06-25
23,Mozzarella Sticks - Variant 5,Appetizer,Greek,"A delightful starter to begin your meal, crafted with fresh ingredients. Mozzarella Sticks - Variant 5 is a customer favorite.",7.7,10,6.93,871,6,Medium,Keto,4.9,103,Available,Yes,No,https://images.restaurant.com/food/appetizer/0023.jpg,2024-05-09
24,Mozzarella Sticks - Variant 6,Appetizer,Indian,"A delightful starter to begin your meal, crafted with fresh ingredients. Mozzarella Sticks - Variant 6 is a customer favorite.",9.28,0,9.28,537,38,Medium,Dairy-Free,4.8,21,Available,No,No,https://images.restaurant.com/food/appetizer/0024.jpg,2024-08-09
25,Calamari Rings,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Calamari Rings is a customer favorite.",13.67,10,12.3,520,20,Medium,Halal,4.4,105,Sold Out,Yes,No,https://images.restaurant.com/food/appetizer/0025.jpg,2023-10-19
26,Calamari Rings - Variant 2,Appetizer,Turkish,"A delightful starter to begin your meal, crafted with fresh ingredients. Calamari Rings - Variant 2 is a customer favorite.",10.59,10,9.53,1029,19,None,Spicy,4.5,325,Available,Yes,No,https://images.restaurant.com/food/appetizer/0026.jpg,2023-01-18
27,Calamari Rings - Variant 3,Appetizer,Vietnamese,"A delightful starter to begin your meal, crafted with fresh ingredients. Calamari Rings - Variant 3 is a customer favorite.",13.56,5,12.88,791,9,Extra Hot,Dairy-Free,4.9,453,Available,No,No,https://images.restaurant.com/food/appetizer/0027.jpg,2023-01-14
28,Calamari Rings - Variant 4,Appetizer,Greek,"A delightful starter to begin your meal, crafted with fresh ingredients. Calamari Rings - Variant 4 is a customer favorite.",11.46,0,11.46,533,18,Medium,Vegan,5.0,646,Available,No,No,https://images.restaurant.com/food/appetizer/0028.jpg,2023-07-30
29,Calamari Rings - Variant 5,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Calamari Rings - Variant 5 is a customer favorite.",12.86,0,12.86,389,34,Hot,Spicy,3.7,697,Available,No,No,https://images.restaurant.com/food/appetizer/0029.jpg,2024-06-22
30,Nachos Supreme,Appetizer,Indian,"A delightful starter to begin your meal, crafted with fresh ingredients. Nachos Supreme is a customer favorite.",9.75,10,8.78,543,35,Hot,Vegetarian,4.0,473,Sold Out,Yes,No,https://images.restaurant.com/food/appetizer/0030.jpg,2024-08-05
31,Nachos Supreme - Variant 2,Appetizer,Turkish,"A delightful starter to begin your meal, crafted with fresh ingredients. Nachos Supreme - Variant 2 is a customer favorite.",9.16,0,9.16,825,13,Medium,Vegetarian,4.1,848,Available,No,Yes,https://images.restaurant.com/food/appetizer/0031.jpg,2024-05-01
32,Nachos Supreme - Variant 3,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Nachos Supreme - Variant 3 is a customer favorite.",11.15,5,10.59,604,35,Mild,Vegetarian,4.7,507,Available,No,No,https://images.restaurant.com/food/appetizer/0032.jpg,2024-11-22
33,Nachos Supreme - Variant 4,Appetizer,Vietnamese,"A delightful starter to begin your meal, crafted with fresh ingredients. Nachos Supreme - Variant 4 is a customer favorite.",10.56,0,10.56,244,19,None,Halal,4.1,349,Available,No,Yes,https://images.restaurant.com/food/appetizer/0033.jpg,2024-03-18
34,Nachos Supreme - Variant 5,Appetizer,Vietnamese,"A delightful starter to begin your meal, crafted with fresh ingredients. Nachos Supreme - Variant 5 is a customer favorite.",8.93,0,8.93,1158,10,None,Nut-Free,4.0,242,Sold Out,No,No,https://images.restaurant.com/food/appetizer/0034.jpg,2023-06-25
35,Nachos Supreme - Variant 6,Appetizer,Turkish,"A delightful starter to begin your meal, crafted with fresh ingredients. Nachos Supreme - Variant 6 is a customer favorite.",9.45,0,9.45,242,22,Hot,Gluten-Free,4.8,156,Available,No,No,https://images.restaurant.com/food/appetizer/0035.jpg,2024-01-23
36,Stuffed Mushrooms,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Stuffed Mushrooms is a customer favorite.",9.89,0,9.89,923,17,Mild,Vegan,4.1,102,Sold Out,No,No,https://images.restaurant.com/food/appetizer/0036.jpg,2023-02-21
37,Stuffed Mushrooms - Variant 2,Appetizer,Turkish,"A delightful starter to begin your meal, crafted with fresh ingredients. Stuffed Mushrooms - Variant 2 is a customer favorite.",8.22,10,7.4,1191,9,None,Gluten-Free,4.2,832,Available,No,No,https://images.restaurant.com/food/appetizer/0037.jpg,2023-10-03
38,Stuffed Mushrooms - Variant 3,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Stuffed Mushrooms - Variant 3 is a customer favorite.",10.52,0,10.52,443,28,None,Halal,4.4,799,Available,No,No,https://images.restaurant.com/food/appetizer/0038.jpg,2023-01-18
39,Stuffed Mushrooms - Variant 4,Appetizer,Greek,"A delightful starter to begin your meal, crafted with fresh ingredients. Stuffed Mushrooms - Variant 4 is a customer favorite.",9.31,10,8.38,694,6,Medium,Dairy-Free,3.9,425,Available,No,No,https://images.restaurant.com/food/appetizer/0039.jpg,2023-04-27
40,Shrimp Cocktail,Appetizer,Vietnamese,"A delightful starter to begin your meal, crafted with fresh ingredients. Shrimp Cocktail is a customer favorite.",14.16,20,11.33,1007,22,None,Low-Carb,3.7,425,Available,No,No,https://images.restaurant.com/food/appetizer/0040.jpg,2023-06-05
41,Shrimp Cocktail - Variant 2,Appetizer,Vietnamese,"A delightful starter to begin your meal, crafted with fresh ingredients. Shrimp Cocktail - Variant 2 is a customer favorite.",14.96,15,12.72,1129,38,Hot,Low-Carb,4.6,348,Available,No,Yes,https://images.restaurant.com/food/appetizer/0041.jpg,2024-06-16
42,Shrimp Cocktail - Variant 3,Appetizer,Vietnamese,"A delightful starter to begin your meal, crafted with fresh ingredients. Shrimp Cocktail - Variant 3 is a customer favorite.",15.95,0,15.95,425,31,Extra Hot,Gluten-Free,3.7,760,Available,No,Yes,https://images.restaurant.com/food/appetizer/0042.jpg,2024-11-18
43,Shrimp Cocktail - Variant 4,Appetizer,Greek,"A delightful starter to begin your meal, crafted with fresh ingredients. Shrimp Cocktail - Variant 4 is a customer favorite.",16.9,0,16.9,1076,33,Hot,None,4.5,849,Available,No,No,https://images.restaurant.com/food/appetizer/0043.jpg,2024-10-06
44,Onion Rings,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Onion Rings is a customer favorite.",6.49,0,6.49,387,34,Medium,Vegan,4.2,683,Available,Yes,No,https://images.restaurant.com/food/appetizer/0044.jpg,2024-09-26
45,Onion Rings - Variant 2,Appetizer,Greek,"A delightful starter to begin your meal, crafted with fresh ingredients. Onion Rings - Variant 2 is a customer favorite.",5.77,15,4.9,678,19,Hot,Gluten-Free,3.8,515,Available,No,Yes,https://images.restaurant.com/food/appetizer/0045.jpg,2024-03-05
46,Onion Rings - Variant 3,Appetizer,Turkish,"A delightful starter to begin your meal, crafted with fresh ingredients. Onion Rings - Variant 3 is a customer favorite.",5.6,10,5.04,1084,42,Extra Hot,Dairy-Free,3.6,621,Available,No,No,https://images.restaurant.com/food/appetizer/0046.jpg,2024-04-14
47,Spinach Dip,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Spinach Dip is a customer favorite.",8.33,10,7.5,660,29,Hot,Vegetarian,4.4,121,Available,Yes,No,https://images.restaurant.com/food/appetizer/0047.jpg,2023-01-30
48,Spinach Dip - Variant 2,Appetizer,Vietnamese,"A delightful starter to begin your meal, crafted with fresh ingredients. Spinach Dip - Variant 2 is a customer favorite.",8.5,0,8.5,157,24,Mild,Dairy-Free,4.7,447,Sold Out,No,No,https://images.restaurant.com/food/appetizer/0048.jpg,2023-07-04
49,Spinach Dip - Variant 3,Appetizer,Indian,"A delightful starter to begin your meal, crafted with fresh ingredients. Spinach Dip - Variant 3 is a customer favorite.",9.26,5,8.8,767,15,Medium,Gluten-Free,4.3,131,Available,No,No,https://images.restaurant.com/food/appetizer/0049.jpg,2024-07-10
50,Spinach Dip - Variant 4,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Spinach Dip - Variant 4 is a customer favorite.",9.68,5,9.2,684,16,Medium,Dairy-Free,4.6,66,Available,No,Yes,https://images.restaurant.com/food/appetizer/0050.jpg,2024-07-02
51,Buffalo Cauliflower,Appetizer,Indian,"A delightful starter to begin your meal, crafted with fresh ingredients. Buffalo Cauliflower is a customer favorite.",8.32,0,8.32,1029,23,Medium,Dairy-Free,3.8,296,Sold Out,No,No,https://images.restaurant.com/food/appetizer/0051.jpg,2024-04-09
52,Buffalo Cauliflower - Variant 2,Appetizer,Vietnamese,"A delightful starter to begin your meal, crafted with fresh ingredients. Buffalo Cauliflower - Variant 2 is a customer favorite.",8.8,10,7.92,1151,17,Medium,Spicy,5.0,557,Available,No,No,https://images.restaurant.com/food/appetizer/0052.jpg,2024-11-11
53,Buffalo Cauliflower - Variant 3,Appetizer,Vietnamese,"A delightful starter to begin your meal, crafted with fresh ingredients. Buffalo Cauliflower - Variant 3 is a customer favorite.",7.5,0,7.5,217,23,None,Dairy-Free,3.8,765,Sold Out,No,No,https://images.restaurant.com/food/appetizer/0053.jpg,2024-03-08
54,Buffalo Cauliflower - Variant 4,Appetizer,Indian,"A delightful starter to begin your meal, crafted with fresh ingredients. Buffalo Cauliflower - Variant 4 is a customer favorite.",7.57,5,7.19,614,38,Medium,Low-Carb,4.8,606,Available,Yes,No,https://images.restaurant.com/food/appetizer/0054.jpg,2024-05-11
55,Buffalo Cauliflower - Variant 5,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Buffalo Cauliflower - Variant 5 is a customer favorite.",7.27,0,7.27,429,14,Hot,Halal,4.3,448,Available,No,Yes,https://images.restaurant.com/food/appetizer/0055.jpg,2024-05-02
56,Edamame,Appetizer,Greek,"A delightful starter to begin your meal, crafted with fresh ingredients. Edamame is a customer favorite.",4.68,20,3.74,522,5,Mild,Vegan,4.3,545,Sold Out,No,Yes,https://images.restaurant.com/food/appetizer/0056.jpg,2023-03-09
57,Edamame - Variant 2,Appetizer,Vietnamese,"A delightful starter to begin your meal, crafted with fresh ingredients. Edamame - Variant 2 is a customer favorite.",4.74,0,4.74,268,5,Extra Hot,Low-Carb,4.5,232,Available,No,No,https://images.restaurant.com/food/appetizer/0057.jpg,2023-03-22
58,Edamame - Variant 3,Appetizer,Greek,"A delightful starter to begin your meal, crafted with fresh ingredients. Edamame - Variant 3 is a customer favorite.",5.91,5,5.61,1016,44,Extra Hot,Vegetarian,4.4,214,Available,Yes,Yes,https://images.restaurant.com/food/appetizer/0058.jpg,2024-08-07
59,Edamame - Variant 4,Appetizer,Greek,"A delightful starter to begin your meal, crafted with fresh ingredients. Edamame - Variant 4 is a customer favorite.",5.1,5,4.84,626,9,Medium,Gluten-Free,3.7,180,Available,No,No,https://images.restaurant.com/food/appetizer/0059.jpg,2024-09-25
60,Edamame - Variant 5,Appetizer,Turkish,"A delightful starter to begin your meal, crafted with fresh ingredients. Edamame - Variant 5 is a customer favorite.",5.63,0,5.63,581,45,None,Nut-Free,5.0,468,Available,No,No,https://images.restaurant.com/food/appetizer/0060.jpg,2023-11-08
61,Edamame - Variant 6,Appetizer,Indian,"A delightful starter to begin your meal, crafted with fresh ingredients. Edamame - Variant 6 is a customer favorite.",4.92,0,4.92,458,27,Mild,Gluten-Free,4.5,128,Available,No,No,https://images.restaurant.com/food/appetizer/0061.jpg,2023-10-14
62,Chicken Satay,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Chicken Satay is a customer favorite.",10.89,20,8.71,668,34,Extra Hot,Keto,4.4,70,Available,No,No,https://images.restaurant.com/food/appetizer/0062.jpg,2024-02-12
63,Chicken Satay - Variant 2,Appetizer,Greek,"A delightful starter to begin your meal, crafted with fresh ingredients. Chicken Satay - Variant 2 is a customer favorite.",10.28,0,10.28,989,11,Mild,None,4.9,284,Available,No,Yes,https://images.restaurant.com/food/appetizer/0063.jpg,2023-10-27
64,Chicken Satay - Variant 3,Appetizer,Indian,"A delightful starter to begin your meal, crafted with fresh ingredients. Chicken Satay - Variant 3 is a customer favorite.",11.34,15,9.64,854,19,Hot,Low-Carb,4.2,594,Available,No,Yes,https://images.restaurant.com/food/appetizer/0064.jpg,2023-08-15
65,Gyoza Dumplings,Appetizer,Turkish,"A delightful starter to begin your meal, crafted with fresh ingredients. Gyoza Dumplings is a customer favorite.",10.38,20,8.3,341,44,Mild,Gluten-Free,4.2,626,Available,No,Yes,https://images.restaurant.com/food/appetizer/0065.jpg,2023-02-24
66,Gyoza Dumplings - Variant 2,Appetizer,Indian,"A delightful starter to begin your meal, crafted with fresh ingredients. Gyoza Dumplings - Variant 2 is a customer favorite.",10.8,20,8.64,170,29,Medium,Halal,3.8,544,Sold Out,No,Yes,https://images.restaurant.com/food/appetizer/0066.jpg,2023-09-29
67,Gyoza Dumplings - Variant 3,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Gyoza Dumplings - Variant 3 is a customer favorite.",8.21,10,7.39,1195,39,Hot,Vegetarian,4.7,64,Sold Out,Yes,Yes,https://images.restaurant.com/food/appetizer/0067.jpg,2023-10-23
68,Cheese Quesadilla,Appetizer,Vietnamese,"A delightful starter to begin your meal, crafted with fresh ingredients. Cheese Quesadilla is a customer favorite.",8.04,0,8.04,365,45,Hot,Keto,5.0,745,Available,No,Yes,https://images.restaurant.com/food/appetizer/0068.jpg,2024-03-11
69,Cheese Quesadilla - Variant 2,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Cheese Quesadilla - Variant 2 is a customer favorite.",8.54,15,7.26,203,27,None,Vegetarian,4.0,200,Sold Out,No,Yes,https://images.restaurant.com/food/appetizer/0069.jpg,2024-01-31
70,Cheese Quesadilla - Variant 3,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Cheese Quesadilla - Variant 3 is a customer favorite.",7.99,0,7.99,683,13,Mild,Keto,4.0,253,Available,No,No,https://images.restaurant.com/food/appetizer/0070.jpg,2024-11-10
71,Cheese Quesadilla - Variant 4,Appetizer,Vietnamese,"A delightful starter to begin your meal, crafted with fresh ingredients. Cheese Quesadilla - Variant 4 is a customer favorite.",7.15,10,6.44,704,40,Hot,Nut-Free,4.5,561,Sold Out,Yes,No,https://images.restaurant.com/food/appetizer/0071.jpg,2023-12-17
72,Fried Pickles,Appetizer,Indian,"A delightful starter to begin your meal, crafted with fresh ingredients. Fried Pickles is a customer favorite.",6.5,15,5.52,1077,28,Extra Hot,Vegetarian,4.3,208,Available,No,No,https://images.restaurant.com/food/appetizer/0072.jpg,2024-01-13
73,Fried Pickles - Variant 2,Appetizer,Greek,"A delightful starter to begin your meal, crafted with fresh ingredients. Fried Pickles - Variant 2 is a customer favorite.",6.3,0,6.3,498,27,Medium,None,3.7,623,Available,Yes,No,https://images.restaurant.com/food/appetizer/0073.jpg,2024-10-15
74,Fried Pickles - Variant 3,Appetizer,Greek,"A delightful starter to begin your meal, crafted with fresh ingredients. Fried Pickles - Variant 3 is a customer favorite.",6.73,0,6.73,1199,36,None,Low-Carb,4.3,348,Sold Out,No,No,https://images.restaurant.com/food/appetizer/0074.jpg,2024-07-02
75,Fried Pickles - Variant 4,Appetizer,Indian,"A delightful starter to begin your meal, crafted with fresh ingredients. Fried Pickles - Variant 4 is a customer favorite.",7.39,5,7.02,308,24,None,Halal,4.4,266,Sold Out,Yes,No,https://images.restaurant.com/food/appetizer/0075.jpg,2024-11-17
76,Fried Pickles - Variant 5,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Fried Pickles - Variant 5 is a customer favorite.",7.22,15,6.14,1096,30,Mild,Vegetarian,4.8,766,Available,No,Yes,https://images.restaurant.com/food/appetizer/0076.jpg,2023-08-26
77,Avocado Toast,Appetizer,Greek,"A delightful starter to begin your meal, crafted with fresh ingredients. Avocado Toast is a customer favorite.",9.11,0,9.11,881,28,Medium,Low-Carb,3.8,640,Available,No,Yes,https://images.restaurant.com/food/appetizer/0077.jpg,2024-02-25
78,Avocado Toast - Variant 2,Appetizer,Spanish,"A delightful starter to begin your meal, crafted with fresh ingredients. Avocado Toast - Variant 2 is a customer favorite.",10.36,15,8.81,302,38,Extra Hot,Vegan,4.7,591,Available,Yes,No,https://images.restaurant.com/food/appetizer/0078.jpg,2024-07-06
79,Avocado Toast - Variant 3,Appetizer,Turkish,"A delightful starter to begin your meal, crafted with fresh ingredients. Avocado Toast - Variant 3 is a customer favorite.",9.1,20,7.28,670,20,Mild,Nut-Free,4.1,663,Sold Out,Yes,No,https://images.restaurant.com/food/appetizer/0079.jpg,2024-06-27
80,Avocado Toast - Variant 4,Appetizer,Vietnamese,"A delightful starter to begin your meal, crafted with fresh ingredients. Avocado Toast - Variant 4 is a customer favorite.",10.41,20,8.33,906,29,Extra Hot,Spicy,3.9,618,Available,No,Yes,https://images.restaurant.com/food/appetizer/0080.jpg,2024-06-09
81,Avocado Toast - Variant 5,Appetizer,Turkish,"A delightful starter to begin your meal, crafted with fresh ingredients. Avocado Toast - Variant 5 is a customer favorite.",9.04,10,8.14,606,6,None,Gluten-Free,3.6,615,Available,No,No,https://images.restaurant.com/food/appetizer/0081.jpg,2024-10-14
82,Grilled Salmon,Main Course,Lebanese,A hearty and satisfying main dish prepared by our expert chefs. Grilled Salmon is a customer favorite.,21.35,0,21.35,175,43,None,Halal,4.0,436,Available,No,Yes,https://images.restaurant.com/food/main_course/0082.jpg,2023-09-10
83,Grilled Salmon - Variant 2,Main Course,Lebanese,A hearty and satisfying main dish prepared by our expert chefs. Grilled Salmon - Variant 2 is a customer favorite.,22.47,0,22.47,290,31,None,Halal,4.7,848,Available,Yes,Yes,https://images.restaurant.com/food/main_course/0083.jpg,2024-02-23
84,Grilled Salmon - Variant 3,Main Course,Lebanese,A hearty and satisfying main dish prepared by our expert chefs. Grilled Salmon - Variant 3 is a customer favorite.,23.59,0,23.59,759,44,Hot,Nut-Free,4.4,95,Available,No,No,https://images.restaurant.com/food/main_course/0084.jpg,2024-06-04
85,Grilled Salmon - Variant 4,Main Course,Italian,A hearty and satisfying main dish prepared by our expert chefs. Grilled Salmon - Variant 4 is a customer favorite.,20.92,20,16.74,844,17,Mild,Low-Carb,4.3,57,Available,No,Yes,https://images.restaurant.com/food/main_course/0085.jpg,2024-02-17
86,Grilled Salmon - Variant 5,Main Course,Turkish,A hearty and satisfying main dish prepared by our expert chefs. Grilled Salmon - Variant 5 is a customer favorite.,21.56,0,21.56,1002,17,Mild,Gluten-Free,5.0,73,Sold Out,No,No,https://images.restaurant.com/food/main_course/0086.jpg,2024-01-26
87,Beef Steak,Main Course,Italian,A hearty and satisfying main dish prepared by our expert chefs. Beef Steak is a customer favorite.,34.54,5,32.81,1183,20,Hot,Low-Carb,4.2,156,Available,No,Yes,https://images.restaurant.com/food/main_course/0087.jpg,2024-04-24
88,Beef Steak - Variant 2,Main Course,Turkish,A hearty and satisfying main dish prepared by our expert chefs. Beef Steak - Variant 2 is a customer favorite.,33.78,0,33.78,907,13,Medium,Vegan,4.2,514,Available,No,No,https://images.restaurant.com/food/main_course/0088.jpg,2023-09-03
89,Beef Steak - Variant 3,Main Course,French,A hearty and satisfying main dish prepared by our expert chefs. Beef Steak - Variant 3 is a customer favorite.,34.12,10,30.71,978,19,None,Keto,3.8,448,Sold Out,No,Yes,https://images.restaurant.com/food/main_course/0089.jpg,2023-11-01
90,Beef Steak - Variant 4,Main Course,French,A hearty and satisfying main dish prepared by our expert chefs. Beef Steak - Variant 4 is a customer favorite.,32.4,20,25.92,947,13,Extra Hot,Keto,4.6,622,Sold Out,No,Yes,https://images.restaurant.com/food/main_course/0090.jpg,2023-10-26
91,Beef Steak - Variant 5,Main Course,Turkish,A hearty and satisfying main dish prepared by our expert chefs. Beef Steak - Variant 5 is a customer favorite.,32.32,0,32.32,783,34,Hot,Gluten-Free,4.8,769,Available,No,Yes,https://images.restaurant.com/food/main_course/0091.jpg,2023-06-01
92,Chicken Alfredo,Main Course,French,A hearty and satisfying main dish prepared by our expert chefs. Chicken Alfredo is a customer favorite.,18.12,20,14.5,748,13,Extra Hot,Spicy,3.6,225,Available,Yes,No,https://images.restaurant.com/food/main_course/0092.jpg,2024-02-14
93,Chicken Alfredo - Variant 2,Main Course,Lebanese,A hearty and satisfying main dish prepared by our expert chefs. Chicken Alfredo - Variant 2 is a customer favorite.,15.67,10,14.1,259,40,None,Dairy-Free,3.9,99,Available,No,No,https://images.restaurant.com/food/main_course/0093.jpg,2024-09-07
94,Chicken Alfredo - Variant 3,Main Course,Turkish,A hearty and satisfying main dish prepared by our expert chefs. Chicken Alfredo - Variant 3 is a customer favorite.,19.83,0,19.83,540,21,Hot,Vegetarian,4.2,820,Sold Out,Yes,Yes,https://images.restaurant.com/food/main_course/0094.jpg,2023-08-19
95,Chicken Alfredo - Variant 4,Main Course,Lebanese,A hearty and satisfying main dish prepared by our expert chefs. Chicken Alfredo - Variant 4 is a customer favorite.,18.11,0,18.11,1167,39,None,Nut-Free,3.5,90,Available,Yes,Yes,https://images.restaurant.com/food/main_course/0095.jpg,2023-04-06
